,co2
837,330
838,334
839,345
840,228
841,222
842,163
843,177
844,259
845,250
846,252
847,276
848,253
849,294
850,299
851,320
852,308
853,321
854,276
855,212
856,276
857,253
858,294
859,299
860,320
861,308
862,270
863,274
864,300
865,225
866,231
867,225
868,237
869,245
870,267
871,199
872,213
873,274
874,279
875,330
876,236
877,214
878,284
879,257
880,115
881,119
882,115
883,119
884,115
885,119
886,115
887,119
888,115
889,122
890,90
891,90
892,289
893,174
894,174
895,198
896,174
897,164
898,183
899,164
900,183
901,164
902,160
903,160
904,161
905,161
906,188
907,161
908,174
909,197
910,174
911,197
912,164
913,164
914,164
915,164
916,168
917,168
918,202
919,224
920,202
921,199
922,213
923,219
924,232
925,219
926,232
927,196
928,217
929,196
930,196
931,208
932,214
933,224
934,214
935,224
936,188
937,256
938,284
939,256
940,316
941,316
942,217
943,228
944,292
945,266
946,294
947,313
948,222
949,235
950,222
951,235
952,233
953,267
954,158
955,188
956,180
957,152
958,220
959,232
960,252
961,152
962,154
963,151
964,155
965,288
966,287
967,186
968,194
969,177
970,183
971,195
972,206
973,200
974,211
975,217
976,179
977,186
978,227
979,244
980,246
981,292
982,260
983,263
984,283
985,129
986,129
987,154
988,167
989,139
990,194
991,154
992,157
993,180
994,165
995,144
996,187
997,136
998,170
999,172
1000,185
1001,198
1002,198
1003,164
1004,219
1005,221
1006,229
1007,224
1008,146
1009,141
1010,206
1011,206
1012,238
1013,248
1014,214
1015,207
1016,208
1017,234
1018,243
1019,156
1020,160
1021,209
1022,203
1023,206
1024,229
1025,238
1026,150
1027,154
1028,217
1029,231
1030,180
1031,234
1032,245
1033,221
1034,232
1035,182
1036,171
1037,182
1038,178
1039,147
1040,290
1041,295
1042,304
1043,295
1044,304
1045,285
1046,285
1047,290
1048,309
1049,339
1050,245
1051,263
1052,281
1053,271
1054,197
1055,219
1056,202
1057,206
1058,217
1059,211
1060,225
1061,225
1062,210
1063,197
1064,189
1065,189
1066,201
1067,207
1068,201
1069,207
1070,225
1071,198
1072,225
1073,198
1074,208
1075,236
1076,236
1077,208
1078,226
1079,217
1080,236
1081,208
1082,226
1083,217
1084,205
1085,205
1086,146
1087,170
1088,155
1089,160
1090,170
1091,184
1092,170
1093,153
1094,139
1095,189
1096,175
1097,211
1098,216
1099,212
1100,273
1101,211
1102,216
1103,212
1104,273
1105,177
1106,188
1107,180
1108,152
1109,177
1110,186
1111,149
1112,168
1113,144
1114,182
1115,214
1116,189
1117,271
1118,259
1119,183
1120,191
1121,154
1122,173
1123,149
1124,187
1125,210
1126,192
1127,174
1128,165
1129,181
1130,156
1131,174
1132,165
1133,164
1134,139
1135,153
1136,169
1137,162
1138,181
1139,156
1140,180
1141,174
1142,165
1143,163
1144,164
1145,139
1146,168
1147,181
1148,173
1149,157
1150,170
1151,157
1152,202
1153,190
1154,197
1155,224
1156,231
1157,214
1158,252
1159,390
1160,456
1161,422
1162,418
1163,422
1164,443
1165,422
1166,405
1167,405
1168,190
1169,190
1170,165
1171,170
1172,173
1173,176
1174,195
1175,179
1176,168
1177,166
1178,175
1179,175
1180,178
1181,212
1182,168
1183,210
1184,166
1185,182
1186,206
1187,178
1188,198
1189,190
1190,189
1191,164
1192,164
1193,162
1194,164
1195,162
1196,166
1197,164
1198,196
1199,196
1200,150
1201,179
1202,178
1203,168
1204,166
1205,172
1206,170
1207,174
1208,203
1209,172
1210,150
1211,224
1212,224
1213,193
1214,227
1215,193
1216,247
1217,163
1218,154
1219,232
1220,260
1221,232
1222,274
1223,235
1224,268
1225,240
1226,286
1227,213
1228,243
1229,210
1230,240
1231,216
1232,240
1233,164
1234,213
1235,243
1236,210
1237,240
1238,217
1239,240
1240,220
1241,247
1242,222
1243,248
1244,219
1245,237
1246,264
1247,223
1248,257
1249,227
1250,256
1251,223
1252,243
1253,271
1254,242
1255,230
1256,176
1257,211
1258,176
1259,178
1260,233
1261,242
1262,278
1263,134
1264,158
1265,180
1266,119
1267,175
1268,186
1269,138
1270,178
1271,140
1272,161
1273,186
1274,138
1275,135
1276,135
1277,190
1278,206
1279,158
1280,187
1281,206
1282,143
1283,187
1284,204
1285,140
1286,187
1287,204
1288,223
1289,140
1290,226
1291,161
1292,173
1293,130
1294,170
1295,173
1296,130
1297,135
1298,170
1299,135
1300,154
1301,160
1302,157
1303,160
1304,180
1305,192
1306,211
1307,194
1308,221
1309,143
1310,146
1311,192
1312,223
1313,194
1314,221
1315,187
1316,211
1317,194
1318,221
1319,143
1320,185
1321,143
1322,192
1323,221
1324,194
1325,221
1326,140
1327,214
1328,218
1329,235
1330,249
1331,214
1332,220
1333,239
1334,265
1335,165
1336,225
1337,236
1338,224
1339,229
1340,215
1341,225
1342,228
1343,234
1344,222
1345,228
1346,227
1347,234
1348,134
1349,171
1350,207
1351,174
1352,202
1353,174
1354,219
1355,184
1356,224
1357,244
1358,256
1359,278
1360,236
1361,236
1362,227
1363,227
1364,190
1365,195
1366,130
1367,169
1368,139
1369,176
1370,207
1371,145
1372,166
1373,244
1374,232
1375,214
1376,270
1377,185
1378,162
1379,162
1380,165
1381,176
1382,168
1383,192
1384,171
1385,180
1386,182
1387,312
1388,287
1389,341
1390,340
1391,292
1392,405
1393,178
1394,229
1395,217
1396,226
1397,215
1398,206
1399,259
1400,228
1401,175
1402,224
1403,211
1404,137
1405,134
1406,144
1407,160
1408,154
1409,165
1410,151
1411,156
1412,137
1413,139
1414,151
1415,180
1416,179
1417,193
1418,143
1419,185
1420,139
1421,263
1422,244
1423,247
1424,265
1425,265
1426,263
1427,303
1428,326
1429,150
1430,178
1431,171
1432,150
1433,179
1434,185
1435,202
1436,178
1437,197
1438,180
1439,197
1440,190
1441,173
1442,192
1443,169
1444,163
1445,190
1446,202
1447,185
1448,197
1449,161
1450,185
1451,180
1452,155
1453,204
1454,208
1455,218
1456,250
1457,228
1458,224
1459,245
1460,231
1461,248
1462,226
1463,245
1464,253
1465,268
1466,251
1467,263
1468,214
1469,243
1470,209
1471,238
1472,269
1473,290
1474,251
1475,283
1476,173
1477,195
1478,183
1479,175
1480,202
1481,173
1482,178
1483,207
1484,183
1485,202
1486,178
1487,188
1488,183
1489,161
1490,153
1491,151
1492,166
1493,163
1494,161
1495,170
1496,199
1497,232
1498,204
1499,209
1500,228
1501,202
1502,207
1503,226
1504,175
1505,250
1506,243
1507,240
1508,236
1509,248
1510,240
1511,238
1512,200
1513,200
1514,204
1515,214
1516,204
1517,214
1518,177
1519,173
1520,206
1521,173
1522,194
1523,221
1524,173
1525,140
1526,146
1527,194
1528,221
1529,149
1530,146
1531,140
1532,226
1533,245
1534,264
1535,202
1536,159
1537,151
1538,235
1539,213
1540,270
1541,235
1542,213
1543,270
1544,305
1545,293
1546,219
1547,163
1548,143
1549,192
1550,194
1551,194
1552,143
1553,143
1554,163
1555,170
1556,170
1557,143
1558,173
1559,140
1560,140
1561,226
1562,242
1563,264
1564,168
1565,143
1566,173
1567,143
1568,146
1569,194
1570,223
1571,194
1572,223
1573,176
1574,143
1575,146
1576,228
1577,194
1578,221
1579,221
1580,194
1581,190
1582,197
1583,221
1584,139
1585,151
1586,185
1587,119
1588,151
1589,185
1590,119
1591,163
1592,119
1593,240
1594,219
1595,270
1596,310
1597,224
1598,209
1599,230
1600,158
1601,143
1602,140
1603,158
1604,192
1605,209
1606,192
1607,209
1608,138
1609,140
1610,143
1611,140
1612,168
1613,139
1614,151
1615,185
1616,130
1617,173
1618,151
1619,185
1620,154
1621,185
1622,151
1623,185
1624,154
1625,185
1626,120
1627,130
1628,156
1629,138
1630,138
1631,156
1632,190
1633,206
1634,190
1635,206
1636,135
1637,138
1638,138
1639,138
1640,233
1641,178
1642,178
1643,233
1644,233
1645,178
1646,233
1647,233
1648,178
1649,209
1650,216
1651,209
1652,216
1653,199
1654,233
1655,151
1656,181
1657,209
1658,216
1659,199
1660,233
1661,151
1662,181
1663,233
1664,250
1665,254
1666,265
1667,189
1668,216
1669,151
1670,192
1671,214
1672,221
1673,214
1674,221
1675,204
1676,235
1677,157
1678,189
1679,214
1680,221
1681,204
1682,235
1683,157
1684,189
1685,238
1686,257
1687,262
1688,269
1689,192
1690,227
1691,154
1692,194
1693,235
1694,213
1695,270
1696,230
1697,269
1698,219
1699,230
1700,253
1701,226
1702,263
1703,236
1704,268
1705,205
1706,222
1707,210
1708,224
1709,222
1710,254
1711,250
1712,274
1713,172
1714,225
1715,264
1716,185
1717,193
1718,212
1719,164
1720,142
1721,142
1722,198
1723,216
1724,198
1725,217
1726,212
1727,227
1728,205
1729,222
1730,210
1731,224
1732,169
1733,196
1734,246
1735,251
1736,270
1737,194
1738,211
1739,211
1740,195
1741,195
1742,202
1743,195
1744,207
1745,207
1746,202
1747,202
1748,178
1749,178
1750,282
1751,271
1752,283
1753,283
1754,198
1755,198
1756,205
1757,199
1758,214
1759,214
1760,209
1761,209
1762,180
1763,180
1764,286
1765,280
1766,291
1767,287
1768,230
1769,230
1770,284
1771,271
1772,289
1773,297
1774,308
1775,296
1776,310
1777,220
1778,278
1779,472
1780,469
1781,206
1782,209
1783,230
1784,157
1785,167
1786,204
1787,204
1788,242
1789,235
1790,264
1791,274
1792,192
1793,192
1794,221
1795,219
1796,243
1797,283
1798,295
1799,235
1800,276
1801,206
1802,209
1803,228
1804,157
1805,164
1806,202
1807,204
1808,240
1809,233
1810,264
1811,271
1812,192
1813,192
1814,221
1815,219
1816,243
1817,283
1818,295
1819,233
1820,274
1821,223
1822,348
1823,346
1824,343
1825,144
1826,146
1827,116
1828,170
1829,194
1830,192
1831,218
1832,192
1833,218
1834,228
1835,143
1836,176
1837,146
1838,140
1839,187
1840,199
1841,223
1842,151
1843,194
1844,192
1845,213
1846,254
1847,262
1848,206
1849,209
1850,230
1851,153
1852,242
1853,235
1854,264
1855,274
1856,192
1857,219
1858,219
1859,243
1860,283
1861,298
1862,262
1863,281
1864,317
1865,206
1866,209
1867,230
1868,153
1869,240
1870,233
1871,264
1872,271
1873,192
1874,219
1875,219
1876,243
1877,283
1878,295
1879,262
1880,281
1881,314
1882,286
1883,298
1884,314
1885,314
1886,243
1887,262
1888,307
1889,322
1890,288
1891,228
1892,226
1893,230
1894,228
1895,268
1896,268
1897,189
1898,222
1899,229
1900,228
1901,242
1902,188
1903,214
1904,167
1905,183
1906,190
1907,220
1908,190
1909,220
1910,195
1911,224
1912,225
1913,236
1914,213
1915,226
1916,152
1917,156
1918,213
1919,226
1920,216
1921,230
1922,235
1923,239
1924,217
1925,229
1926,217
1927,229
1928,221
1929,232
1930,215
1931,227
1932,229
1933,244
1934,218
1935,230
1936,178
1937,213
1938,186
1939,216
1940,218
1941,230
1942,222
1943,235
1944,292
1945,287
1946,213
1947,237
1948,228
1949,242
1950,179
1951,216
1952,187
1953,219
1954,225
1955,247
1956,235
1957,252
1958,189
1959,221
1960,194
1961,226
1962,229
1963,257
1964,238
1965,261
1966,283
1967,286
1968,295
1969,295
1970,302
1971,307
1972,346
1973,272
1974,298
1975,314
1976,307
1977,338
1978,333
1979,259
1980,305
1981,310
1982,335
1983,358
1984,313
1985,330
1986,333
1987,335
1988,275
1989,294
1990,320
1991,294
1992,314
1993,290
1994,196
1995,208
1996,188
1997,216
1998,196
1999,232
2000,483
2001,236
2002,210
2003,210
2004,297
2005,297
2006,279
2007,255
2008,341
2009,308
2010,366
2011,400
2012,275
2013,311
2014,350
2015,168
2016,178
2017,175
2018,210
2019,181
2020,178
2021,182
2022,201
2023,187
2024,197
2025,206
2026,200
2027,208
2028,147
2029,173
2030,149
2031,178
2032,152
2033,155
2034,177
2035,185
2036,168
2037,185
2038,170
2039,187
2040,241
2041,245
2042,186
2043,149
2044,145
2045,155
2046,148
2047,177
2048,160
2049,195
2050,152
2051,139
2052,138
2053,201
2054,159
2055,178
2056,194
2057,182
2058,184
2059,252
2060,221
2061,232
2062,215
2063,159
2064,170
2065,159
2066,170
2067,177
2068,185
2069,160
2070,180
2071,160
2072,180
2073,160
2074,180
2075,177
2076,185
2077,177
2078,198
2079,198
2080,198
2081,164
2082,164
2083,164
2084,164
2085,138
2086,154
2087,141
2088,156
2089,141
2090,141
2091,144
2092,141
2093,184
2094,197
2095,215
2096,224
2097,178
2098,187
2099,187
2100,187
2101,147
2102,147
2103,309
2104,271
2105,258
2106,204
2107,214
2108,204
2109,214
2110,206
2111,223
2112,206
2113,249
2114,240
2115,260
2116,237
2117,282
2118,240
2119,260
2120,237
2121,282
2122,161
2123,161
2124,161
2125,161
2126,282
2127,303
2128,313
2129,245
2130,290
2131,208
2132,206
2133,208
2134,206
2135,235
2136,250
2137,235
2138,250
2139,235
2140,258
2141,258
2142,235
2143,208
2144,226
2145,226
2146,236
2147,265
2148,180
2149,164
2150,127
2151,157
2152,124
2153,157
2154,244
2155,181
2156,195
2157,132
2158,151
2159,145
2160,129
2161,149
2162,135
2163,205
2164,222
2165,183
2166,200
2167,145
2168,156
2169,152
2170,440
2171,440
2172,495
2173,570
2174,558
2175,198
2176,179
2177,186
2178,218
2179,199
2180,164
2181,164
2182,146
2183,146
2184,171
2185,177
2186,183
2187,197
2188,222
2189,162
2190,162
2191,143
2192,143
2193,168
2194,183
2195,191
2196,204
2197,192
2198,207
2199,234
2200,144
2201,195
2202,210
2203,237
2204,146
2205,205
2206,205
2207,170
2208,170
2209,136
2210,142
2211,142
2212,155
2213,136
2214,150
2215,150
2216,197
2217,197
2218,130
2219,130
2220,150
2221,142
2222,159
2223,159
2224,186
2225,171
2226,143
2227,145
2228,148
2229,151
2230,155
2231,221
2232,182
2233,184
2234,204
2235,205
2236,202
2237,236
2238,250
2239,228
2240,240
2241,195
2242,193
2243,195
2244,188
2245,187
2246,182
2247,185
2248,182
2249,350
2250,161
2251,161
2252,167
2253,161
2254,161
2255,171
2256,161
2257,166
2258,171
2259,171
2260,161
2261,169
2262,171
2263,171
2264,136
2265,144
2266,120
2267,158
2268,153
2269,162
2270,162
2271,165
2272,169
2273,192
2274,192
2275,163
2276,167
2277,186
2278,186
2279,188
2280,188
2281,196
2282,191
2283,200
2284,195
2285,181
2286,181
2287,179
2288,179
2289,179
2290,179
2291,181
2292,181
2293,181
2294,181
2295,184
2296,184
2297,142
2298,144
2299,143
2300,145
2301,144
2302,145
2303,142
2304,144
2305,143
2306,145
2307,204
2308,207
2309,205
2310,205
2311,212
2312,207
2313,207
2314,209
2315,207
2316,176
2317,211
2318,176
2319,240
2320,260
2321,278
2322,295
2323,312
2324,154
2325,163
2326,165
2327,165
2328,182
2329,186
2330,185
2331,187
2332,192
2333,173
2334,188
2335,166
2336,179
2337,210
2338,229
2339,192
2340,205
2341,195
2342,208
2343,199
2344,218
2345,212
2346,241
2347,232
2348,251
2349,228
2350,243
2351,249
2352,242
2353,178
2354,211
2355,176
2356,242
2357,264
2358,259
2359,288
2360,234
2361,305
2362,185
2363,187
2364,190
2365,219
2366,192
2367,190
2368,194
2369,223
2370,221
2371,156
2372,159
2373,238
2374,242
2375,240
2376,247
2377,191
2378,202
2379,214
2380,217
2381,171
2382,171
2383,178
2384,178
2385,218
2386,223
2387,265
2388,273
2389,237
2390,216
2391,232
2392,203
2393,203
2394,221
2395,207
2396,218
2397,207
2398,219
2399,207
2400,219
2401,207
2402,218
2403,229
2404,209
2405,224
2406,209
2407,224
2408,203
2409,203
2410,224
2411,207
2412,219
2413,209
2414,219
2415,209
2416,219
2417,207
2418,219
2419,209
2420,224
2421,209
2422,224
2423,215
2424,235
2425,256
2426,153
2427,153
2428,172
2429,157
2430,169
2431,157
2432,172
2433,157
2434,172
2435,159
2436,170
2437,229
2438,235
2439,229
2440,235
2441,237
2442,204
2443,201
2444,201
2445,204
2446,205
2447,205
2448,80
2449,291
2450,291
2451,287
2452,291
2453,287
2454,183
2455,203
2456,216
2457,154
2458,176
2459,164
2460,166
2461,188
2462,149
2463,165
2464,179
2465,203
2466,228
2467,176
2468,196
2469,192
2470,206
2471,196
2472,211
2473,169
2474,202
2475,246
2476,235
2477,274
2478,215
2479,241
2480,246
2481,223
2482,247
2483,192
2484,224
2485,271
2486,270
2487,278
2488,289
2489,326
2490,358
2491,305
2492,305
2493,287
2494,287
2495,285
2496,270
2497,295
2498,290
2499,290
2500,287
2501,287
2502,305
2503,284
2504,281
2505,305
2506,301
2507,244
2508,234
2509,249
2510,244
2511,290
2512,290
2513,287
2514,287
2515,290
2516,290
2517,287
2518,287
2519,290
2520,287
2521,202
2522,216
2523,220
2524,258
2525,244
2526,264
2527,237
2528,257
2529,185
2530,211
2531,190
2532,198
2533,170
2534,192
2535,173
2536,207
2537,265
2538,269
2539,222
2540,240
2541,185
2542,211
2543,190
2544,198
2545,216
2546,225
2547,261
2548,274
2549,241
2550,262
2551,575
2552,590
2553,575
2554,575
2555,575
2556,530
2557,575
2558,539
2559,539
2560,539
2561,520
2562,520
2563,520
2564,299
2565,282
2566,397
2567,397
2568,262
2569,284
2570,248
2571,248
2572,208
2573,205
2574,240
2575,298
2576,289
2577,304
2578,385
2579,398
2580,281
2581,296
2582,229
2583,232
2584,289
2585,311
2586,177
2587,168
2588,174
2589,225
2590,218
2591,225
2592,294
2593,366
2594,328
2595,366
2596,328
2597,366
2598,328
2599,244
2600,223
2601,370
2602,420
2603,179
2604,177
2605,181
2606,197
2607,183
2608,205
2609,197
2610,216
2611,203
2612,163
2613,149
2614,184
2615,184
2616,195
2617,214
2618,195
2619,214
2620,189
2621,205
2622,189
2623,205
2624,198
2625,198
2626,196
2627,196
2628,158
2629,176
2630,165
2631,152
2632,169
2633,169
2634,176
2635,190
2636,176
2637,190
2638,237
2639,242
2640,196
2641,196
2642,210
2643,205
2644,215
2645,232
2646,229
2647,201
2648,198
2649,201
2650,220
2651,201
2652,220
2653,174
2654,158
2655,223
2656,231
2657,305
2658,245
2659,258
2660,170
2661,180
2662,170
2663,180
2664,184
2665,172
2666,184
2667,172
2668,139
2669,156
2670,139
2671,156
2672,184
2673,190
2674,184
2675,190
2676,233
2677,237
2678,230
2679,233
2680,164
2681,181
2682,269
2683,252
2684,212
2685,215
2686,271
2687,252
2688,218
2689,221
2690,222
2691,225
2692,161
2693,178
2694,233
2695,237
2696,250
2697,245
2698,280
2699,320
2700,299
2701,310
2702,321
2703,230
2704,233
2705,228
2706,237
2707,237
2708,233
2709,266
2710,297
2711,230
2712,227
2713,225
2714,234
2715,233
2716,230
2717,250
2718,278
2719,289
2720,230
2721,242
2722,180
2723,188
2724,283
2725,274
2726,187
2727,193
2728,275
2729,266
2730,259
2731,209
2732,281
2733,307
2734,218
2735,237
2736,164
2737,177
2738,271
2739,261
2740,266
2741,259
2742,259
2743,207
2744,271
2745,299
2746,248
2747,250
2748,330
2749,334
2750,345
2751,225
2752,227
2753,227
2754,233
2755,228
2756,166
2757,164
2758,177
2759,231
2760,237
2761,235
2762,230
2763,235
2764,237
2765,233
2766,235
2767,175
2768,177
2769,189
2770,278
2771,269
2772,189
2773,198
2774,271
2775,227
2776,225
2777,232
2778,227
2779,163
2780,177
2781,266
2782,256
2783,181
2784,189
2785,260
2786,276
2787,253
2788,294
2789,320
2790,299
2791,335
2792,310
2793,349
2794,333
2795,276
2796,276
2797,212
2798,253
2799,294
2800,299
2801,320
2802,310
2803,270
2804,272
2805,275
2806,300
2807,235
2808,237
2809,235
2810,241
2811,254
2812,274
2813,270
2814,236
2815,214
2816,284
2817,257
2818,182
2819,206
2820,178
2821,198
2822,190
2823,189
2824,164
2825,162
2826,164
2827,162
2828,166
2829,164
2830,196
2831,196
2832,150
2833,179
2834,178
2835,168
2836,166
2837,172
2838,170
2839,174
2840,203
2841,172
2842,150
2843,224
2844,224
2845,193
2846,247
2847,154
2848,232
2849,274
2850,240
2851,286
2852,185
2853,224
2854,228
2855,245
2856,163
2857,190
2858,225
2859,249
2860,185
2861,224
2862,228
2863,255
2864,163
2865,190
2866,225
2867,255
2868,118
2869,122
2870,118
2871,122
2872,118
2873,122
2874,118
2875,122
2876,118
2877,122
2878,90
2879,90
2880,163
2881,158
2882,176
2883,176
2884,198
2885,176
2886,168
2887,194
2888,168
2889,194
2890,168
2891,194
2892,156
2893,156
2894,171
2895,192
2896,171
2897,192
2898,162
2899,162
2900,171
2901,192
2902,171
2903,174
2904,198
2905,174
2906,198
2907,225
2908,210
2909,231
2910,210
2911,210
2912,210
2913,225
2914,242
2915,229
2916,242
2917,229
2918,243
2919,243
2920,229
2921,203
2922,224
2923,203
2924,203
2925,207
2926,218
2927,227
2928,238
2929,227
2930,238
2931,256
2932,284
2933,256
2934,256
2935,284
2936,256
2937,316
2938,316
2939,225
2940,227
2941,237
2942,225
2943,235
2944,227
2945,237
2946,225
2947,235
2948,227
2949,237
2950,273
2951,292
2952,319
2953,296
2954,233
2955,267
2956,160
2957,188
2958,180
2959,183
2960,157
2961,186
2962,223
2963,168
2964,220
2965,232
2966,252
2967,149
2968,149
2969,142
2970,147
2971,155
2972,288
2973,287
2974,177
2975,177
2976,183
2977,183
2978,195
2979,206
2980,200
2981,211
2982,217
2983,179
2984,188
2985,246
2986,282
2987,292
2988,279
2989,260
2990,263
2991,283
2992,165
2993,136
2994,129
2995,129
2996,145
2997,154
